source_recipe_id,name_zh,aliases
317010,番茄蟹肉沙拉,"[""番茄蟹肉凉拌""]"
353088,低脂黑豆蔬菜汉堡,"[""素食汉堡"",""豆类汉堡""]"
481614,帕玛森羽衣甘蓝脆片,"[""甘蓝脆片""]"
53472,墨西哥风味鸡肉,"[""Chicken Ole""]"
436303,柠檬鲜虾沙拉,"[""柠檬虾沙拉""]"
128908,坦都里烤鸡,"[""唐杜里鸡"",""Tandoori Chicken""]"
352071,五食材豆汤,"[""黑豆汤""]"
226681,低脂意大利香肠晚餐,"[""意式香肠炖菜""]"
54651,低脂奶油意面,"[""低脂白酱意面"",""Fettuccine Alfredo""]"
163844,夏季海鲜酸橘汁,"[""酸橘汁海鲜"",""Ceviche""]"
290185,菠菜鹰嘴豆咖喱汤配古斯米,"[""辣味豆汤""]"
120297,中东风味烤土豆,"[""中东烤土豆""]"
81185,低脂牛油果酱,"[""低卡牛油果蘸酱"",""低脂鳄梨酱""]"
20305,姜香柠檬水煮大比目鱼,"[""清煮比目鱼""]"
183132,番茄罗勒焗大比目鱼,"[""番茄罗勒鱼排""]"
282130,低脂水牛城鸡柳,"[""水牛城鸡条"",""Buffalo Chicken""]"
47989,红酒汁三文鱼,"[""红酒三文鱼""]"
173317,烤山葵鸡肉,"[""辣根烤鸡""]"
151221,金枪鱼酿彩椒,"[""金枪鱼填椒""]"
472476,慢炖香菜青柠鸡肉塔可,"[""青柠鸡肉塔可"",""Cilantro Lime Tacos""]"
304250,咖喱奶油烤鸡胸,"[""咖喱鸡胸""]"
262382,无油鸡肉提卡,"[""Chicken Tikka"",""鸡肉串""]"
227262,低脂酸味金枪鱼沙拉,"[""金枪鱼沙拉""]"
427216,核桃迷迭香烤鸡,"[""核桃烤鸡""]"
509705,泰式罗勒牛肉,"[""泰式炒牛肉"",""Thai Beef Basil""]"
161333,香菜奶油意面船,"[""加勒比风味意面""]"
229924,锡纸亚洲风味大比目鱼,"[""锡纸烤鱼""]"
314244,印度香料烤鸡,"[""印度风味烤鸡""]"
89922,一人份素食玉米片,"[""快手素玉米片""]"
460755,芝麻酱烤鱼,"[""Tahini 烤鱼""]"
475467,香煎鱼柳,"[""五香鱼排""]"
74766,柠檬烤鳟鱼,"[""烤柠檬鳟鱼""]"
103966,低碳墨西哥烤鸡,"[""墨西哥烤鸡""]"
304891,意式火鸡肉汉堡,"[""低脂火鸡汉堡""]"
240023,黄瓜酸奶酱烤鸡,"[""酸奶黄瓜烤鸡""]"
10600,希腊羊奶酪鸡肉,"[""Feta 鸡肉""]"
277964,薄荷酸奶腌鸡肉,"[""酸奶薄荷鸡""]"
192177,意式香脆鸡胸,"[""脆皮鸡胸""]"
93115,帕玛森鸡排,"[""Parmesan 鸡排""]"
20877,黄瓜酱微波鱼,"[""快手微波鱼""]"
509656,无面包糠猪排帕尔玛,"[""意式猪排""]"
10570,香草奶油酱鸡肉,"[""奶油香草鸡""]"
294604,低脂烤猪里脊,"[""烤猪里脊""]"
88346,柠檬罗非鱼,"[""清爽柠檬鱼""]"
86463,花园蔬菜汉堡,"[""素食汉堡""]"
175340,营养酵母风味豆腐,"[""美味烤豆腐""]"
100900,辣味三芝士墨西哥意面,"[""芝士墨西哥意面""]"
386163,酸奶腌虾仁,"[""中东风味虾""]"
90806,西兰花樱桃番茄意面沙拉,"[""蔬菜意面沙拉""]"
154388,菠萝黑豆玉米卷饼,"[""菠萝黑豆卷"",""Enchiladas""]"
483396,印度扁豆汤,"[""木豆汤"",""Dal""]"
365360,帕玛森炒虾,"[""蒜香虾""]"
209188,燕麦红枣玛芬,"[""燕麦枣泥松饼""]"
349940,素食瑞士牛排,"[""植物牛排"",""Vegetarian Swiss Steak""]"
147044,香料甜菜根,"[""辣味甜菜""]"
334984,香烤猪里脊,"[""烤箱猪里脊""]"
505895,香草酱煎大比目鱼,"[""chimichurri 比目鱼""]"
368800,炖锅彩椒牛肉,"[""牛肉炖彩椒""]"
517789,香料三文鱼配黄瓜,"[""香料三文鱼""]"
499151,芝麻姜汁烤三文鱼,"[""芝麻三文鱼""]"
360274,健康金枪鱼三明治,"[""金枪鱼融烤三明治""]"
156249,切达鸡肉豌豆砂锅,"[""鸡肉豌豆焗菜""]"
169699,希腊风味酿鸡胸,"[""菠菜酿鸡胸""]"
91784,低碳烤猪排,"[""低卡猪排""]"
80412,清爽柠檬鸡,"[""柠檬鸡"",""Light Lemon Chicken""]"
509342,墨西哥西葫芦鸡肉,"[""西葫芦炖鸡""]"
163841,火腿奶酪酿鸡胸,"[""火腿瑞士鸡""]"
304522,坦都里风味海鲜串,"[""海鲜串"",""Tandoori Kabobs""]"
327208,意式鸵鸟肉汉堡,"[""低脂肉汉堡""]"
236409,西班牙风味大比目鱼,"[""西班牙烩鱼""]"
354307,番茄菠菜煎鲷鱼,"[""番茄菠菜鱼""]"
84933,香菇酱油鸡,"[""酱香鸡肉""]"
414179,柠檬黄油比目鱼,"[""黄油香煎比目鱼"",""Meuniere""]"
37447,香草烤三文鱼,"[""柠檬香草三文鱼""]"
32267,卡津红鲷鱼,"[""Cajun 红鲷鱼""]"
281188,卡津鸡腿,"[""Cajun 烤鸡腿""]"
453099,迷你塔可,"[""迷你玉米饼"",""Mini Tacos""]"
516134,黑椒鳕鱼,"[""黑化鳕鱼"",""Blackened Cod""]"
39264,清炖鱼排,"[""水煮鱼""]"
317745,柠檬烤鸡胸,"[""柠檬鸡胸肉""]"
160982,香草鸡柳,"[""香草鸡条""]"
151755,烧烤波本酱鸡肉,"[""烧烤酱鸡""]"
370324,羊奶酪烤虾,"[""Feta 焗虾""]"
336375,烤箱法式鱼排,"[""法式烤鱼""]"
187686,鸡汤玉米饼炖锅,"[""约塞米蒂鸡汤"",""Chicken Stew""]"
137209,印度香料烤三文鱼,"[""香料三文鱼""]"
94402,杏仁脆皮鱼排,"[""杏仁烤鱼""]"
75232,柠檬酱油烤三文鱼,"[""酱油柠檬三文鱼""]"
349905,塔巴斯科辣椒罗非鱼,"[""辣椒罗非鱼""]"
322306,菲律宾烤猪里脊,"[""香烤猪里脊""]"
222710,姜汁烤三文鱼,"[""姜味三文鱼""]"
169354,香草烤罗非鱼,"[""烤箱罗非鱼""]"
104322,鳎鱼菠菜砂锅,"[""龙利鱼菠菜焗""]"
419409,莳萝酸豆奶油烤鲽鱼,"[""奶油莳萝烤鱼""]"
371474,胡椒青柠烤三文鱼,"[""青柠黑椒三文鱼""]"
117145,孜然脆皮海鲈鱼,"[""孜然海鲈鱼""]"
112259,罗勒酱煎鳕鱼,"[""香煎鳕鱼""]"
98491,香蒜酱剑鱼,"[""香草剑鱼""]"
90676,意式香料烤猪里脊,"[""意大利风味猪里脊""]"
62992,藏红花虾,"[""藏红花鲜虾""]"
417223,红糖烤猪里脊,"[""蜜汁猪里脊""]"
283465,菠菜鸡胸肉,"[""菠菜鸡胸""]"
238010,阿卡普尔科风味虾,"[""墨西哥风味虾""]"
213121,焦糖烧烤三文鱼,"[""BBQ 三文鱼""]"
